State,Abbr,Visit,id
Alabama,AL,,1
Alaska,AK,Visited,2
Arizona,AZ,Visited,4
Arkansas,AR,,5
California,CA,Visited,6
Colorado,CO,Visited,8
Connecticut,CT,,9
Delaware,DE,,10
District Of Columbia,DC,Visited,11
Florida,FL,Visited,12
Georgia,GA,,13
Hawaii,HI,Visited,15
Idaho,ID,Visited,16
Illinois,IL,,17
Indiana,IN,,18
Iowa,IA,Visited,19
Kansas,KS,,20
Kentucky,KY,,21
Louisiana,LA,,22
Maine,ME,,23
Maryland,MD,,24
Massachusetts,MA,Visited,25
Michigan,MI,Visited,26
Minnesota,MN,Visited,27
Mississippi,MS,,28
Missouri,MO,,29
Montana,MT,Visited,30
Nebraska,NE,Visited,31
Nevada,NV,Visited,32
New Hampshire,NH,,33
New Jersey,NJ,Visited,34
New Mexico,NM,Visited,35
New York,NY,Visited,36
North Carolina,NC,,37
North Dakota,ND,Visited,38
Ohio,OH,,39
Oklahoma,OK,,40
Oregon,OR,Visited,41
Pennsylvania,PA,Visited,42
Puerto Rico,PR,,72
Rhode Island,RI,,44
South Carolina,SC,,45
South Dakota,SD,Visited,46
Tennessee,TN,,47
Texas,TX,Visited,48
Utah,UT,Visited,49
Vermont,VT,,50
Virginia,VA,,51
Washington,WA,Visited,53
West Virginia,WV,,54
Wisconsin,WI,Visited,55
Wyoming,WY,Visited,56
